2,10
2,11
3,11
3,10
7,11
8,11
8,10
8,12
9,13
10,14
9,9
10,8
11,9
11,13
11,12
11,11
11,10
10,12
10,11
10,10
17,8
17,9
18,10
17,12
18,12
19,12
19,13
20,13
21,13
22,13
20,14
21,14
22,12
22,11
21,11
25,12
25,11
27,12
28,11
28,10
29,10
30,9
31,9
29,8
28,8
28,7
27,6
25,6
25,7
26,9
36,9
37,9
37,8
36,8
2,10
2,11
3,11
3,10
7,11
8,11
8,10
8,12
9,13
10,14
9,9
10,8
11,9
11,13
11,12
11,11
11,10
10,12
10,11
10,10
17,8
17,9
18,10
17,12
18,12
19,12
19,13
20,13
21,13
22,13
20,14
21,14
22,12
22,11
21,11
25,12
25,11
27,12
28,11
28,10
29,10
30,9
31,9
29,8
28,8
28,7
27,6
25,6
25,7
26,9
36,9
37,9
37,8
36,8
